Model,title,rate,content
Alfawise A8 TV Box,"Alfawise A8 TV BOX review – turn your normal TV to Smart TV for just Rs. 1,900 (Flash Sale)",4.3,"This is the Alfawsie A8 TV Box, if you have a ordinary TV that has a HDMI port then you can go for this TV Box and convert your TV to a Smart TV for just Rs. 1,900. The A8 TV box is running Android Oreo 8.1 out of the box. ,You can buy the Alfawsie A8 TV box from Gearbest for approx Rs. 1,900 (Flash Sale) with priority line shipping,here is the link – ,Make sure to go with priority line shipping option.,Supports 4K at 30fps output,
Running Android Oreo 8.1, comes with Google Play store,
2GB RAM, 16GB ROM,
Rockchip 3229 quad core powered, 1.5GHz high compatible quad-core cortex-A7 chip,
Built in Wi-Fi, 2.4GHz,
Fast boot, response and transmission,
4x USB Ports – Local media playback, support HDD, U disk, SD card up to 32G,
The remote control is powered by two AAA batteries ( not included ), this is IR based remote"
Honor Band 4,"Honor Band 4 review AMOLED color screen, better than Mi Band 3!",5,"This is the Honor Band 4 that is available on Amazon for Rs. 2,599. This Band 4 will cost you a little more but is a better open when compared with the Mi Band 3. Do check the video review to know what you will get inside the box (,) and features / performance. ,Honor Band 4 is available on Amazon in 3 color options – ,0.95 inch AMOLED screen – Color screen, visible under direct sunlight,5ATM water resistant, up to 50 meters,Can track swimming activities – 6-Axis sensor recognizes main strokes (freestyle, breaststroke, butterfly, backstroke); Records speed, distance, number of turns, calories, average SWOLF & other data,Band 4 can also track your steps, calories burned, sleep pattern,There is no mic / speaker, all notifications via vibration,Heart Rate Monitoring Supports TruSeen allows 24-hour accurate real-time heart rate monitoring & warnings,Scientific Sleep Monitoring: TruSleep allows sleep status recognition, collection & analyzing data,Caller ID, SMS, e-mail, Weather Reports, Calendar & Social Apps,Battery performance – 14 to 17 days with normal usage / scientific sleep turned off and up to 6 days with heavy usage / scientific sleep on,The Honor Band 4 is a much better option as it comes with color AMOLED screen and looks also much premium. On Mi Band 3 its OLED single color screen. The Mi band 3 screen is not at all visible under sunlight but the Band 4 is visible.,Mi Band 3 is priced Rs. 1,999 and Honor Band 4 is Rs. 2,599, if you have the budget then go with Honor Band 4."
PTron Spunk,PTron Spunk review – budget friendly true Bluetooth 5.0 wireless earphones  Rs. 2999,4.5,"PTron Spunk is a true Bluetooth wireless earphone, it is using the Bluetooth 5.0 technology and is IPX5 certified. In this PTron Spunk review I have shown the content you will get inside the box, talked about features and performance. ,PTron Spunk is priced at just Rs. 2,999 making it the cheapest true Bluetooth earphones you can buy this from Flipkart – ,The earbuds are big but build and finishing is pretty good, body is made of plastic and the button on each of the earbuds are touch sensitive. Inside the box you also get a charging case. Do check the video review for more details.,Bass is rich, vocals audible, overall quality crystal clear. For the price the quality is really good.,Charging Case : 500 mAh battery,
BT Ear buds charging time about 1.5 hours,
BT Ear buds usage time up to 4 hours on a single charge,
BT Technology : Version 5.0,
Each Ear buds house 70 mAh battery, Left – 70 mAh, right – 70 mAh total 140 mAh,
Supports : HFP1.6, HSP1.1, A2DP1.2, A2DP, AVRCP1.5, SPP1.0, PBAP1.0, Apple Siri, Google Assistant,
IPX5 certified that makes is water resistant (splash proof)"
EACHLINK H6 Mini TV Box,"EACHLINK H6 Mini TV Box review – Android 7 quad core powered,  make your TV Smart approx Rs. 2600",4.3,"This is another TV Box that will make your TV smart, this is EACHLINK H6 Mini TV Box and unique thing is it is pretty small, light weight and comes with a display. Price is approx Rs. 2,600. ,You can buy the EACHLINK H6 Mini TV Box from Gearbest there is no priority line shipping and with normal shipping you may end up paying custom duty.,Here is the link – ,Also check this Alfawise TV box this one has priority line shipping option and no custom duty price is also less – ,Supports HDR 6K image,
Comes with 3GB RAM + 32GB ROM large memory and expandable storage,
Android 7.0 operation system out of the box,
Allwinner H6 CPU, quad core, Cortex A53 coupled with Mali T720 GPU,
2.4GHz WiFi single band,
Supports H.265 decoding"
SF Rush,"SF Rush Fitness Band, basic band for Rs. 999 plus 4x Giveaway",3.5,"This is SF Rush a TATA Product, it is a fitness band with basic features. The band does not come with heart rate sensor and there is no app / call / message notification options. ,You can buy the SF Rush fitness band for Rs. 999 – ,4X Giveaway ( 4 SF Rush band to be won),
For details visit – , ,– Can track steps, distance, calories and sleep,
– Does not support call / message / app notification,
– Gives about 7 days of battery life.,
– OLED screen not visible under direct sunlight,
– No heart rate sensor"
Moin L1,"Moin L1 LED light review – for Photo / Video on land or under water, best portable option",4.5,"For photo shoot or video shoot under difficult conditions the Moin L1 LED light can come really handy. This LED light is small but really powerful, plus you can also set the color temperature as per your need. ,You can buy the Moin L1 LED light from here – ,3200K-5600K,
10+ hours of usage at 2% brightness, 2 hours at 100% brightness and 40mins at 150% brightness,
Maximum brightness ≥1000lm,
Waterproof level: IP68 (up to 10m/32.8ft),
6 lamp beads,
Lithium ion rechargeable battery: 7.4V 800mAh,Rated: 4W,
Battery life: 2 hours in maximum brightness,
Standby time: 2 years,
Dimension: 40mm*40mm*40mm,
Bluetooth support 1/4 camera screw,
Charging: 5V/2A magnet interface,
CRI≥90,
TLCI≥90"
Anker Soundcore Flare,"Anker Soundcore Flare review – 360 degree portable speaker, waterproof, Enhanced bass and LED Light",4.6,"This is a interesting product a portable Bluetooth speaker the Anker Soundcore Flare. Unique thing is the design, it is IPX7 certified i.e. waterproof and comes with Ambient LED light that lights up and synchronises as per the beats. ,Anker Soundcore Flare is priced at Rs. 5,999 you can buy from Amazon – ,360° Sound – This is a 360 degree speaker place it in the center of the room and enjoy 360° sound via back-to-back full-range drivers and thumping bass radiators.,BassUp Technology – You can enhance music’s bass frequencies in real time. Just press the BassUp button and prepare yourself.,Light Show Beat-Driven – LED lights blink with the rhythm of your music, there are 5 customization modes available that will elevate the atmosphere of any event or setting.,Soundcore App – Use app to completely customization of Flare’s sound and lights via smartphone or tablet.,Stereo Pairing – You can pair two Flare speakers for multi-dimensional experience.,Using Bluetooth 4.2 technology,,Pool Party Proof – Super-safe IPX7 protection effortlessly withstands spills, rain, and even complete submersion in water.,Battery life about 12 hours non-stop."
Xiaomi Youpin SOOCAS X3,Xiaomi Youpin SOOCAS X3 Sonic Electric Toothbrush review awesome quality and performance now for Rs. 3000,4.7,"This is Xiaomi Youpin SOOCAS X3 Sonic Electric Toothbrush, this electric tooth brush looks awesome, performance is great and price is really good. You can get it for Rs. 3000 for limited period. ,Buy from GearBest and select Priority Line shipping option – ,High-frequency 37,200 strokes/min sonic movement, help to clean your teeth efficiently,High-density DuPont bristle, soft and ensures a full-ranged gum cleaning without discomfort,Smart brushing reminder, 2-min brushing timer with 30-sec interval reminder,Intelligent APP control available, professional customized solution, multi-effect tooth care,4 working modes: Clean / Sensitive / Gum Care / Polish, professional and scientific, meeting your different needs,IPX7 certified waterproof, full body washable, convenient to use and clean,Super long standby, lasts up to 25 days for regular brushing after a full charge, there is 1000 mAh battery,One button switch, simple and easy to operate"
Zoook Jazz Blaster,"Zoook Jazz Blaster review 30W Rugged Bluetooth Speakers, IPX5, 5200 mAh battery price Rs. 2,999",4.5,"This is Zoook Jazz Blaster 30W Bluetooth Speakers that is best for outdoor parties. The speaker is rugged, water resistant, shock proof and price is Rs. 2,999. ,You can buy Zoook Jazz Blaster from Amazon for Rs. 2,999 – ,Build and finishing is really good, speaker looks tough, there is handle to carry it with ease. Sound quality is pretty good bass is rich, clear vocals and volume is pretty loud.,It is using Bluetooth Version: v4.2, supports – Bluetooth Profiles: A2DP, HFP, HSP, EDR,
There is : 15W * 2 = 30 W Speaker + and a passive subwoofer,
Body: Refined ABS, Bass Diaphragm,
Waterproof rating: IPX5,
Connectivity: Bluetooth, Aux-in & Handsfree,
Charging: Micro-USB,
Handsfree: Yes,
Noise Cancellation: Yes,
IPX5: Yes,
Battery: 3.7V 5200mAh,
Music Playback Time: up to 8 hours,
Power Input: DC 5V/1A,
Charging Time: 4~6 hours,
Frequency Response: 90Hz~18kHz,
Sensitivity: 80dB±2dB,
Operating Distance: 10m,
Dimensions: 278x119x125mm,
Weight 1.2Kg"
Samsung Galaxy A9,"Samsung Galaxy A9 review – quad camera, PUBG Gameplay, is it worth the price?",4.3,"Here is the Samsung Galaxy A9 review, in this video I have done unboxing, talked about features, performance, played PUBG Game and also included camera samples. This handset comes with quad (4) cameras on the rear and a single camera on the front. ,You can buy the Samsung Galaxy A9 handset from here for Rs. 36,990 – ,When it comes to look the Galaxy A9 is eye catchy, specially the Lemonade Blue color. Back is glass and the frame is made of metal, overall the handset looks really premium. Snapdragon 660 does a good job, you can play high end games. The 3800 mAh battery also gives a decent battery back up (depends on your usage).,A9 features a 6.3 inch infinity super AMOLED display with full HD+ resolution, there is no notch on this handset also the sides from the back is curved the screen is not curved. The unique thing about the Samsung Galaxy A9 is the quad cameras on the rear.  On the back there is 24MP + 5MP + 10MP (2x ZOOM) + 8MP (Ultra Wide angle lens). Front camera is 24MP – single camera on the front.,By looking at the camera MP one who has knowledge of photography will easily understand why 4 cameras are given on the back, two for bokeh style, one for zoom and another for wide angle. So with this camera phone you will be able to shoot in portrait style, plus also use optical zoom + digital zoom and use wide angle lens when needed.,Camera quality is excellent, but the camera quality on the Galaxy Note 9 and the Galaxy S series are slightly better than the Samsung Galaxy A9. Do check the samples below, handset can shoot super slomo videos, slow motion videos and 4K., , , , , , , , , , , , , , , , , , , , , , , , ,6.3 inch 2220 x 1080 pixels FHD+ Super AMOLED,
Android Oreo 8.0,
Qualcomm Snapdragon 660,
6GB/128GB,
triple slots, dual volte supported,
24MP + 5, 10, 8MP quad cameras on back,
24MP front selfie camera,
3800 battery, 183g weight,
Wi-Fi, Bluetooth, GPS, NFC"
