,Model,title,rate,tags,company,Images
0,Redmi 6A,Xiaomi Redmi 6 and Redmi 6A review,,"Xiaomi,Android",Xiaomi,https://cdn.gsmarena.com/imgroot/reviews/18/xiaomi-redmi-6-6a/lifestyle/-728w2/gsmarena_001.jpg
1,Mate 20,Huawei Mate 20 review,4.4,"Huawei,Android",Huawei,"https://cdn.gsmarena.com/imgroot/reviews/18/huawei-mate-20/lifestyle/-728w2/gsmarena_012.jpg,https://cdn.gsmarena.com/imgroot/reviews/18/huawei-mate-20/lifestyle/-728w2/gsmarena_001.jpg,https://cdn.gsmarena.com/imgroot/reviews/18/huawei-mate-20/lifestyle/-728w2/gsmarena_024.jpg"
2,RX17 Pro,Oppo RX17 Pro hands-on review,,"Oppo,Android,Hands-on",Oppo,"https://cdn.gsmarena.com/imgroot/reviews/18/oppo-rx17-pro-hands-on/lifestyle/-728w2/gsmarena_010.jpg,https://cdn.gsmarena.com/imgroot/reviews/18/oppo-rx17-pro-hands-on/lifestyle/-728w2/gsmarena_012.jpg,https://cdn.gsmarena.com/imgroot/reviews/18/oppo-rx17-pro-hands-on/lifestyle/-728w2/gsmarena_024.jpg"
3,iPhone XR,Apple iPhone XR review,,"Apple,iOS",Apple,"https://cdn.gsmarena.com/imgroot/reviews/18/iphone-xr/lifestyle/-728w2/gsmarena_103.jpg,https://cdn.gsmarena.com/imgroot/reviews/18/iphone-xr/lifestyle/-728w2/gsmarena_014.jpg"
4,Galaxy A7 (2018),Samsung Galaxy A7 (2018) review,3.7,"Samsung,Android,Dual SIM",Samsung,"https://cdn.gsmarena.com/imgroot/reviews/18/samsung-galaxy-a7-2018/lifestyle/-728w2/gsmarena_008.jpg,https://cdn.gsmarena.com/imgroot/reviews/18/samsung-galaxy-a7-2018/lifestyle/-728w2/gsmarena_001.jpg"
5,Phone 2,Razer Phone 2 review,3.9,"Razer,Android",Razer,"https://cdn.gsmarena.com/imgroot/reviews/18/razer-phone-2/lifestyle/-728w2/gsmarena_001.jpg,https://cdn.gsmarena.com/imgroot/reviews/18/razer-phone-2/lifestyle/-728w2/gsmarena_023.jpg"
6,Pixel 3,Google Pixel 3 review,4.2,"Google,Android",Google,https://cdn.gsmarena.com/imgroot/reviews/18/google-pixel-3/lifestyle/-728w2/gsmarena_001.jpg
7,Mi A2 (Mi 6X),Xiaomi Mi A2 long-term review,,"Xiaomi,Android,Long-term",Xiaomi,https://cdn.gsmarena.com/imgroot/reviews/18/xiaomi-mi-a2-long-term/lifestyle/-728w2/gsmarena_013.jpg
8,One (P30 Play),Motorola One review,3.6,"Motorola,Lenovo,Android",Motorola,"https://cdn.gsmarena.com/imgroot/reviews/18/motorola-one/lifestyle/-728w2/gsmarena_014.jpg,https://cdn.gsmarena.com/imgroot/reviews/18/motorola-one/lifestyle/-728w2/gsmarena_001.jpg"
9,Pixel 3 XL,Google Pixel 3 XL review,,"Google,Android",Google,"https://cdn.gsmarena.com/imgroot/reviews/18/google-pixel-3-xl/lifestyle/-728w2/gsmarena_001.jpg,https://cdn.gsmarena.com/imgroot/reviews/18/google-pixel-3-xl/lifestyle/-728w2/gsmarena_002.jpg"
